;US BONDS 10Y;GERMAN BONDS 10Y;S&P 500;EUROSTOXX 50;NIKKEI;MSCI Emerging;Commodities (CRB);Iboxx HY US;Iboxx HY EUR;Emerging Debt
31/12/1998;1;1;1;1;1;1;1;1;1;1
01/01/1999;1.000087611;1.000119034;1.000087611;0.999997326;1.00007534;0.999946931;0.999946931;0.999946931;0.999997326;0.999946931
04/01/1999;0.998744769;1.009510179;0.996734931;1.060170694;0.979989288;1.015645257;1.0121407;1.000687846;0.999989255;1.015679328
05/01/1999;0.995849997;1.009253186;1.006657944;1.073498274;0.964796316;1.025547716;1.005095238;1.001034803;0.997092913;1.029445286
06/01/1999;0.998002076;1.011184102;1.028436086;1.103005339;0.974468969;1.049137186;1.028579076;1.003281553;0.997607581;1.0321275
07/01/1999;0.995106988;1.010006144;1.026516523;1.085452917;0.98451744;1.059796982;1.031507604;1.003629302;1.010008596;1.012112786
08/01/1999;0.989457791;1.011822551;1.034845413;1.081135584;0.974283945;1.053398983;1.034756529;1.002677797;1.024270024;1.00361337
11/01/1999;0.987652927;1.004831312;1.023663196;1.050523393;0.973534573;1.039325421;1.045223627;1.002924202;1.059825828;0.990980345
12/01/1999;0.990953111;1.011486693;1.005471326;1.037666883;0.972297084;1.014275015;1.029799827;1.004271907;1.059823992;0.975536861
13/01/1999;0.995171859;1.013994794;0.995914814;1.003911757;0.973434795;0.960169832;1.009784385;1.003920215;1.047315997;0.921649751
14/01/1999;1.000079824;1.016618284;0.979919163;0.991931365;0.985353172;0.945020673;1.003759143;1.00346841;1.049174335;0.905836691
15/01/1999;0.995803822;1.015669018;1.003722339;1.029106792;0.985426681;0.979142653;1.000074438;1.002716293;1.059817683;0.953127898
18/01/1999;0.996057373;1.017656768;1.010814002;1.045268417;0.991035489;0.989126704;0.999915816;1.002557253;1.059809302;0.952976722
19/01/1999;0.995220994;1.018432624;1.010897579;1.045354843;0.99019459;0.990292136;0.988216279;1.00240223;1.049883257;0.97286122
20/01/1999;0.993005164;1.014941572;1.020027856;1.071060353;1.004329549;1.007550076;0.978845692;1.004344143;1.050912875;0.978979118
21/01/1999;0.996762545;1.018945565;0.991761696;1.057895687;1.018084004;0.986730159;0.994154249;1.006486707;1.051013298;0.952251014
22/01/1999;1.001440049;1.020875118;0.991440046;1.007912668;1.01112833;0.966026975;0.993835442;1.007331167;1.052457602;0.948897875
25/01/1999;1.001692568;1.020901852;1.000543153;1.012880551;1.012655165;0.952840025;0.981348576;1.00697059;1.05317546;0.940815218
26/01/1999;1.000169953;1.020758911;1.018329821;1.019449566;1.023095583;0.965672687;0.971566942;1.007418386;1.068367618;0.953289464
27/01/1999;1.001177481;1.021310353;1.005141164;1.02572729;1.028237969;0.98048041;0.977521093;1.008667306;1.069712364;0.957507395
28/01/1999;1.001952852;1.021167127;1.018705389;1.044675018;1.023566691;0.982935126;0.986605367;1.010113339;1.08180338;0.973154948
